Ticker,CV_ROC_AUC,CV_BuyF1_default,CV_BuyF1_opt,CV_Threshold
AAPL,0.5561,0.0748,0.417,0.1956
MSFT,0.5536,0.2006,0.4218,0.3015
TSLA,0.5545,0.3149,0.5651,0.2495
GOOGL,0.5526,0.2818,0.5056,0.2671
AMZN,0.5715,0.2567,0.4316,0.2762
NVDA,0.5337,0.2246,0.5878,0.2119
META,0.5043,0.1837,0.5071,0.1976
NFLX,0.4795,0.2161,0.4426,0.2378
JPM,0.5459,0.1255,0.4555,0.2305
JNJ,0.5327,0.1274,0.2701,0.309
XOM,0.505,0.0,0.4726,0.1846
WMT,0.5598,0.1386,0.3806,0.2853
SPY,0.6764,0.1751,0.3234,0.3466
QQQ,0.6012,0.1882,0.3813,0.3403
IWM,0.5446,0.1479,0.4076,0.2672
GLD,0.5425,0.0,0.3013,0.2131
TLT,0.5854,0.1134,0.1964,0.3146
AMD,0.543,0.2902,0.5502,0.2294
QCOM,0.5227,0.2798,0.4792,0.2145
ORCL,0.584,0.2408,0.443,0.2459
CRM,0.5189,0.2885,0.4724,0.2725
ADBE,0.5525,0.3622,0.4397,0.3489
GS,0.5405,0.0971,0.4631,0.1672
BAC,0.56,0.0826,0.4823,0.2006
V,0.609,0.172,0.3607,0.2825
MA,0.6044,0.1857,0.3454,0.2718
UNH,0.5858,0.3031,0.4056,0.2487
PFE,0.5268,0.2115,0.4012,0.2944
ABBV,0.5119,0.0202,0.4173,0.1681
AMGN,0.5392,0.0465,0.4234,0.1714
CAT,0.5056,0.0979,0.4633,0.1969
BA,0.5751,0.4322,0.5244,0.3138
HON,0.5495,0.0845,0.3122,0.2652
GE,0.5366,0.0892,0.5374,0.1303
CVX,0.5461,0.148,0.3752,0.2699
COP,0.5514,0.2559,0.4418,0.3166
MCD,0.5591,0.0245,0.273,0.2577
NKE,0.5474,0.4075,0.4604,0.2329
HD,0.5356,0.1849,0.4298,0.169
COST,0.4854,0.2164,0.4111,0.2239
